evidence,date,event,names,rounds,results
STRONG,2019-12-21,vs. Ashland Blazer,Victor Zamora vs Cody Camp,None | None,Fall 2:47 | Fall 2:35
STRONG,2019-12-21,vs. Ashland Blazer,Baylor Brooker vs Cody Camp,None | None,Fall 1:28 | Fall 1:17
STRONG,2020-01-18,Alexander Invitational,Ryan Billups vs 10922416132,3rd place match | round 2,Fall 2:38 | Fall 1:30
STRONG,2019-12-21,Tates creek invitational,Kolby Coburn vs Bailey Jones,None | None,Fall 0:31 | Fall 1:30
STRONG,2019-12-21,Tates creek invitational,Kolby Coburn vs Ethan Renfro,None | None,Fall 1:02 | Fall 0:58
STRONG,2019-12-21,Tates creek invitational,Kolby Coburn vs richard greenwell,None | None,MD 15-2 | MD 14-2
STRONG,2019-12-21,Tates creek invitational,Kolby Coburn vs John Bronson,None | None,Fall 0:25 | Fall 0:24
STRONG,2019-12-21,Tates creek invitational,Kolby Coburn vs Logan Julian,None | None,Fall 1:33 | Fall 1:32
STRONG,2019-12-21,vs. Ashland Blazer,Donovan Bray vs Grant German,None | None,Fall 1:24 | Fall 1:23
STRONG,2019-12-21,vs. Ashland Blazer,Steven Watson vs Grant German,None | None,Fall 0:20 | Fall 0:08
STRONG,2019-12-21,vs. Ashland Blazer,Noah Lynn vs Grant German,None | None,Fall 0:19 | Fall 0:11
STRONG,2019-12-07,Fairland pools,Jack Latherow vs Dakota Smith,champ. round 3 | 3rd place match,MD 12-1 | MD 15-6
STRONG,2019-12-21,Tates creek invitational,Landon Humphries vs Colin Obrien,None | None,Fall 1:29 | Fall 1:41
STRONG,2019-12-21,Tates creek invitational,Zaine Christian vs Tyler Lovett,None | None,Fall 0:50 | Fall 1:10
STRONG,2019-12-21,Tates creek invitational,Zaine Christian vs Zach Goode,None | None,Fall 1:23 | Fall 0:59
STRONG,2019-12-21,Tates creek invitational,John Stone vs Grant Lawson,None | None,Fall 0:33 | Fall 0:39
STRONG,2019-12-21,Tates creek invitational,John Stone vs Anthony Shadeh,None | None,Fall 0:11 | Fall 0:19
STRONG,2019-12-28,Agie Skeens Memorial Tournament,John Stone vs 10788505132,quarterfinals | 3rd place match,Dec 2-0 | Dec 9-5
STRONG,2019-12-07,King of the Bluegrass,Pinny Swe vs Lincoln Ashby,None | champ. round 1,Fall 0:08 | Fall 0:18
STRONG,2019-12-07,King of the Bluegrass,Ayden Puckett vs Jacob Humbert,None | cons. round 2,Fall 1:55 | Fall 2:57
STRONG,2019-12-07,King of the Bluegrass,Deaven McCombs vs Jacob Humbert,None | 5th place match,Fall 2:16 | Fall 2:28
STRONG,2019-12-07,King of the Bluegrass,Aaron King vs Gabe Vanamburgh,None | cons. round 3,Fall 2:43 | Fall 3:41
STRONG,2019-12-21,jeff classic 2019,Gabe Vanamburgh vs 11037406132,champ. round 1 | 7th place match,Fall 0:50 | Fall 3:57
STRONG,2020-02-08,KHSAA Region 8,Thomas Bond vs Jacob Nicholas,quarterfinals | 5th place match,Fall 2:50 | Fall 2:04
STRONG,2020-02-08,KHSAA Region 6,Bryce Chenot vs Trey Fleek,quarterfinals | 3rd place match,Fall 3:32 | Fall 4:35
STRONG,2020-01-23,JV Region 8,Hayden Winters vs Chris Isaacs,round 1 | round 2,Fall 0:00 | Fall 0:00
STRONG,2019-12-28,Woodford County Invitational,Holden McKnight vs Zane Staker,cons. round 1 | cons. round 1,Fall 2:47 | Fall 2:46
STRONG,2019-12-28,Woodford County Invitational,Justus Turner vs Tyler James,quarterfinals | quarterfinals,Fall 1:43 | Fall 1:45
STRONG,2020-02-08,KHSAA Region 8,10666684132 vs Dakota Smith,cons. round 2 | cons. round 2,Fall 1:56 | Fall 1:52
STRONG,2019-12-28,Woodford County Invitational,Griffen Green vs Jaxsin Clontz,cons. round 2 | champ. round 2,Fall 1:30 | Fall 2:29
STRONG,2020-02-08,KHSAA Region 8,Skyeler Tallent vs Drew Butcher,quarterfinals | 3rd place match,Fall 1:31 | Fall 1:23
STRONG,2020-01-11,Tates Creek Invitational,Brandon Bruner vs Davont Smith,quarterfinals | 3rd place match,Fall 0:00 | Fall 0:00
STRONG,2020-01-11,Tates Creek Invitational,Yedideyah Sledge vs DJ Riggins,champ. round 1 | cons. round 3,Fall 0:00 | Fall 0:00
STRONG,2020-01-04,Anderson County Bearcat Invitational,Nathen Westcott vs Isaac Ogle,cons. round 2 | cons. round 2,Fall 3:38 | Fall 2:40
STRONG,2020-02-08,KHSAA Region 3,Bryant Faucett vs Isaac Ogle,quarterfinals | 5th place match,Dec 6-2 | Dec 8-6
STRONG,2019-12-14,Derby City Classic,-1 vs Cole Cecil,quarterfinals | 3rd place match,Fall 5:44 | Fall 5:20
